Gene ID	Gene Name	g1_g2.p-value	g1_g2.log2foldchange
ENSGALG00000000003	PANX2	0.100242375805959	-0.4
ENSGALG00000000011	C10orf88	0.0802046773105167	0.2
ENSGALG00000000038	CTRB2	NA	0.2
ENSGALG00000000044	WFIKKN1	NA	0
ENSGALG00000000048		0.288103121752422	0.4
ENSGALG00000000055	LAMTOR3	0.529728058895927	0.1
ENSGALG00000000059	TUBB3	0.228430079834946	-0.2
ENSGALG00000000067	SPR	0.0560358954256604	-0.4
ENSGALG00000000071		0.878861305389193	0
ENSGALG00000000081	IL4I1	NA	0
ENSGALG00000000086	TIMM17B	0.80618323892789	0
ENSGALG00000000091	INTS4	0.981452026849213	0
ENSGALG00000000094	ADIPOR1	0.283972808349171	-0.1
ENSGALG00000000102	UBE2T	0.901824687993534	0
ENSGALG00000000104		0.28635973460605	-0.4
ENSGALG00000000106	LRIF1	0.777128323405445	0
ENSGALG00000000107	TRIM7.1	NA	0
ENSGALG00000000109	AFMID	0.598969080234545	0.2
ENSGALG00000000112	PLP1	NA	-0.1
ENSGALG00000000115	HEP21	NA	0
ENSGALG00000000120	BMP10	NA	0
ENSGALG00000000122	GNB2L1	1.60561843551779e-20	-0.6
ENSGALG00000000129	TCF25	0.756222862478979	0
ENSGALG00000000136	BLEC2	NA	0
ENSGALG00000000137	SNRPE	0.232542507231953	0.2
ENSGALG00000000141	BLB1	0.00790723600064685	0.9
ENSGALG00000000142	CEPT1	0.788385941146629	0
ENSGALG00000000146	SUPT6H	0.934343074557283	0
ENSGALG00000000150	RPL9	0.380362601236553	0.2
ENSGALG00000000151	ADAMTS19	NA	0
ENSGALG00000000154	DENND2D	0.527022644746131	0.2
ENSGALG00000000156	BRD2	3.43933719323364e-09	-0.5
ENSGALG00000000158	DMA	0.338457297207509	0.3
ENSGALG00000000161	ISOC1	0.401325361605509	0.2
ENSGALG00000000162	DMB1	NA	0
ENSGALG00000000164	MYBPHL	NA	0
ENSGALG00000000168	ADORA1	NA	0
ENSGALG00000000172	MYOG	NA	0
ENSGALG00000000184	SLC27A6	NA	0
ENSGALG00000000186	MTCH1	0.244657916348403	-0.3
ENSGALG00000000189	YTHDC2	0.818791595599391	0
ENSGALG00000000195	SLC23A2	0.00291000489916312	0.3
ENSGALG00000000201	PLEKHM1	0.104412345521551	0.2
ENSGALG00000000208	MCC	6.73362741791211e-11	-1.4
ENSGALG00000000209	PRNP	3.07006995025324e-18	0.8
ENSGALG00000000215	DCP2	0.000936131627143128	-0.4
ENSGALG00000000217	PPFIA4	0.676718383163428	0.1
ENSGALG00000000218	SRP19	0.758812789178722	0
ENSGALG00000000220		7.07850644806573e-08	-0.6
ENSGALG00000000223	TMEM183A	0.270283543491157	0.1
ENSGALG00000000225	MGAT4C	0.212702475016645	-0.3
ENSGALG00000000226	TMEM9	0.174151058414597	0.5
ENSGALG00000000227	DPYSL2	3.06817954033307e-06	0.4
ENSGALG00000000233	SP2	0.594014733967549	0.1
ENSGALG00000000234	EPB41L4A	0.347337076098889	-0.3
ENSGALG00000000235	PPP2R2A	0.752525406498715	0
ENSGALG00000000241	STARD4	0.106776753229403	0.2
ENSGALG00000000242	EBF2	0.502432452055456	-0.3
ENSGALG00000000243	RDM1	0.171484145148159	0.2
ENSGALG00000000244	CAMK4	NA	0
ENSGALG00000000247	WDR36	0.0162684501771625	-0.2
ENSGALG00000000249	GH	0.146795986559484	0.5
ENSGALG00000000251	CD79B	2.23039084853377e-12	0.4
ENSGALG00000000253	SLC25A46	0.154989995379111	-0.2
ENSGALG00000000255	MAN2A1	0.059860571087606	-0.2
ENSGALG00000000259	PSMF1	0.302932989880372	0.1
ENSGALG00000000264		0.00165696562057413	-0.4
ENSGALG00000000273	FER	0.767819328888333	0.1
ENSGALG00000000274		NA	0
ENSGALG00000000275	KCTD9	0.0651406035831344	-0.2
ENSGALG00000000276	FBXL17	0.145710199024962	0.2
ENSGALG00000000277	GnRH-I	0.576905079866612	0.2
ENSGALG00000000280	EFNA5	NA	0
ENSGALG00000000284	HOXB4	NA	0
ENSGALG00000000293		5.74623296591332e-05	-0.9
ENSGALG00000000295		0.807343900207163	-0.1
ENSGALG00000000296	PCNX1	3.32554650759382e-08	0.5
ENSGALG00000000299	PKP1	NA	0
ENSGALG00000000302	TNNT2	NA	0
ENSGALG00000000309		NA	0
ENSGALG00000000311	DOCK5	0.0673541069833389	0.5
ENSGALG00000000313	TNNI1	NA	0
ENSGALG00000000314	NEFL	0.879453696693615	-0.1
ENSGALG00000000317	NEFM	NA	0
ENSGALG00000000318	CSRP1	0.145661627404645	-0.2
ENSGALG00000000329	AHCYL1	0.375665776670792	0.1
ENSGALG00000000336	PPP1R12B	9.35087723915161e-07	-0.5
ENSGALG00000000337	CTXN1	NA	0
ENSGALG00000000341	KRTAP10-4	NA	0
ENSGALG00000000349	PSMC5	0.0466569362801635	0.2
ENSGALG00000000352	TIMM44	0.00744685250972535	-0.3
ENSGALG00000000357		NA	0.3
ENSGALG00000000364	STC1	NA	0
ENSGALG00000000365	NKX2-6	NA	0
ENSGALG00000000367	ASIC2	0.161649259915592	-0.2
ENSGALG00000000371	CRHR1	NA	0
ENSGALG00000000374	RNPEP	0.253860256680315	-0.2
ENSGALG00000000377	HNRNPM	0.252292412993934	-0.1
ENSGALG00000000378	SLC25A37	0.858891653719291	0
ENSGALG00000000379	ITGB3	NA	0
ENSGALG00000000390	ENTPD4	0.988258581595093	0
ENSGALG00000000394	SLC6A17	NA	0
ENSGALG00000000396	METTL2B	0.218477481804551	-0.2
ENSGALG00000000397	IPO9	0.0951528068155496	-0.1
ENSGALG00000000399	DUSP28	NA	0
ENSGALG00000000400	KCNC4	NA	0
ENSGALG00000000401	RBM15	0.956807167552595	0
ENSGALG00000000402	LOXL2	0.728337461077598	0.1
ENSGALG00000000404	COPS2	0.00118657720742075	-0.3
ENSGALG00000000407		0.416558476444968	-0.1
ENSGALG00000000409	CHMP7	0.0762633944615115	-0.2
ENSGALG00000000410	TLK2	0.514442153752512	0.1
ENSGALG00000000417	SLC16A4	0.472481896829498	0.3
