Gene ID	Gene Name	g1_g2.p-value	g1_g2.log2foldchange
ENSGALG00000002286	H3F3B	0	-7
ENSGALG00000020078	H3F3C	0	-8
ENSGALG00000027353	C10orf71	1.29880461971355e-212	-3.7
ENSGALG00000030407	IL6R	3.8485270968074e-183	2.4
ENSGALG00000037669	FKBP9	3.58400895215323e-177	-3.6
ENSGALG00000031786	BLVRA	5.34950331436035e-177	2.2
ENSGALG00000023279	EPN3	3.12236315199182e-170	-2.9
ENSGALG00000011551	JCHAIN	6.47982639371527e-144	-1.7
ENSGALG00000002911	MOXD1	1.29318024850042e-142	-2.4
ENSGALG00000039102	TOX	3.14377780904377e-137	-5.3
ENSGALG00000006456	C14H16orf45	4.83210331845551e-134	4.3
ENSGALG00000031843	ARHGAP18	7.94716749521042e-130	-2.4
ENSGALG00000030011	ZNF704	3.02544663072825e-127	-2
ENSGALG00000014730	ELOVL7	5.56868814200674e-125	2.7
ENSGALG00000014280	AICDA	1.14667725726601e-120	-1.6
ENSGALG00000017644	COTL1	1.53876630297694e-120	2
ENSGALG00000027365	HIVEP3	1.55554665427949e-117	-4.1
ENSGALG00000030602	ADAM33	8.84702727723148e-114	3.7
ENSGALG00000005094	GRAPL	2.67237306894498e-109	2.4
ENSGALG00000005610	SLC44A3	2.67237306894498e-109	-4.8
ENSGALG00000001130	GALNT17	4.85483823561206e-108	-1.6
ENSGALG00000026591	GNG12	2.48713188587058e-106	5.1
ENSGALG00000035599	CD24	2.36084413047626e-100	3.4
ENSGALG00000034855	HK2	7.64491664174327e-99	2.5
ENSGALG00000039264	SLA	3.3960317531256e-97	-3.9
ENSGALG00000002118	KCNMB1	4.08819738778984e-92	4
ENSGALG00000004398	CARD11	1.66636575400496e-91	1.9
ENSGALG00000036240	AKAP12	1.26338663822678e-88	2.5
ENSGALG00000036971	FGF12	8.03199545738066e-87	1.5
ENSGALG00000030598	BTAF1	1.92911852279949e-86	-1.3
ENSGALG00000012952	BASP1	4.7678151865214e-86	3.3
ENSGALG00000002583	PIK3CD	9.83345956370755e-85	-1.6
ENSGALG00000048064		1.62312139112658e-83	3
ENSGALG00000009172	OSBPL6	6.1254332770914e-82	-1.9
ENSGALG00000050763	PBXIP1	6.75562685169969e-82	1.8
ENSGALG00000033087	STAT4	1.50017179188411e-80	2.9
ENSGALG00000003837	ADCY7	2.90724829247635e-79	3.2
ENSGALG00000044339		5.62202766231028e-79	2.4
ENSGALG00000006388	IL16	3.39670658139579e-77	2
ENSGALG00000033941	RORC	4.14460236124194e-76	3.8
ENSGALG00000009381	SIPA1L1	5.91061395397674e-75	1.7
ENSGALG00000005422	PDLIM1	1.2120883459605e-73	2.6
ENSGALG00000027891	NREP	6.84674702733046e-73	-2.2
ENSGALG00000016602	ARHGAP6	3.50644039913878e-72	4.2
ENSGALG00000013001		4.25593654770407e-71	1.4
ENSGALG00000014203	PARVG	2.95025008705328e-70	1.8
ENSGALG00000005194	CD72	3.15345935992851e-69	2.3
ENSGALG00000048035	GCNT2	4.81421762236255e-69	-4.5
ENSGALG00000044383	MCL1	2.54003178248865e-68	1.2
ENSGALG00000015395	CD200L	1.06622726856867e-66	2.2
ENSGALG00000005638	IL2RG	4.57934164304529e-66	1.5
ENSGALG00000010770	SCIN	6.99564876624755e-65	3.1
ENSGALG00000033593	UBE2E2	4.40743806975104e-63	2.4
ENSGALG00000037611		1.81097665316164e-60	2
ENSGALG00000009621	ACTB	2.14999265375331e-60	1.1
ENSGALG00000031768	SPO11	3.97130937569517e-59	-3.9
ENSGALG00000053328		6.06296117790466e-59	4.2
ENSGALG00000002008	RNF157	1.53445731387106e-58	1.3
ENSGALG00000014561	PTPN6	5.17953851005575e-58	-1
ENSGALG00000040371		5.17953851005575e-58	2.8
ENSGALG00000008970	NRK	7.15258964094999e-58	-2
ENSGALG00000047182		8.49031135004632e-58	3.5
ENSGALG00000036490	FAM49B	1.00605811757136e-57	1
ENSGALG00000009842	RASSF3	1.19498570037658e-57	-1.5
ENSGALG00000002282	TMEM200A	1.25258445491048e-56	2.8
ENSGALG00000013632	ACOT13	1.8481796805224e-56	-1.5
ENSGALG00000011695	HIPK3	3.35012257471677e-56	-1.9
ENSGALG00000041577	ITGA4	5.45178836548547e-56	-1.3
ENSGALG00000041213	ARHGAP17	1.75010846895643e-55	1
ENSGALG00000012121		4.30595223925755e-55	-1.7
ENSGALG00000016906	SPRY2	7.1093323557451e-55	-3.8
ENSGALG00000030908		1.71458471967071e-52	2.4
ENSGALG00000039337	SH3BP5	7.86109480162342e-52	1.1
ENSGALG00000003891	ZNF423	2.19036735784301e-51	1.4
ENSGALG00000006715	OAF	1.32439047844068e-50	2.6
ENSGALG00000050326		3.81431712944028e-50	2.1
ENSGALG00000015355	CD47	1.73681114191953e-49	1.1
ENSGALG00000007416	CD3E	2.42674555681373e-48	3.6
ENSGALG00000005888	PGP	9.12449097269589e-48	0.9
ENSGALG00000005378	ARNTL	1.16270026128093e-47	1.6
ENSGALG00000009612	TGFB2	1.55707794961248e-47	-2.2
ENSGALG00000040917	PIK3R4	1.83985963626346e-47	1.1
ENSGALG00000030357	ABL2	2.03882389608324e-47	-3.3
ENSGALG00000006677	P4HA2	2.39470837204044e-47	2.4
ENSGALG00000002707	CHRNB2	4.87438086148796e-47	1.9
ENSGALG00000011529	NAAA	1.20260915858717e-46	1.8
ENSGALG00000013771	CRACD	1.87589193936823e-46	1.7
ENSGALG00000006407		4.33610302182255e-46	3
ENSGALG00000042599	TMEM64	2.74415540408878e-45	1.8
ENSGALG00000006252	LMO4	8.53635299187738e-45	-1.7
ENSGALG00000037097	GRK3	9.00957965925423e-45	1.2
ENSGALG00000014094	STK38L	9.25476827673848e-45	-1.3
ENSGALG00000004531	PLOD1	2.11692677400751e-44	-2.6
ENSGALG00000012739	HIVEP1	2.76390076833027e-44	1.6
ENSGALG00000005505	PIK3CB	3.18816750530399e-44	1.4
ENSGALG00000041094	SYT1	2.94490149318001e-43	-1.7
ENSGALG00000039826	CNGA3	3.64099792035069e-43	-3
ENSGALG00000037943	PRKCB	8.922271223997e-43	0.9
ENSGALG00000030229	CSMD2	1.22865283130729e-42	-3.1
ENSGALG00000030287	NEUROD6	1.51320100867943e-42	1.5
ENSGALG00000009641	COL1A2	2.49659886722819e-42	-3.4
ENSGALG00000042116	FUT9	9.69472913762731e-42	1.9
ENSGALG00000008447	SH2D1A	1.01764128946901e-41	2.9
ENSGALG00000010352	ARHGEF26	1.53598534605245e-41	-2.9
ENSGALG00000017485	TLR1A	1.82547717916825e-41	1.9
ENSGALG00000003123	CNTNAP1	1.89834485329866e-41	1.4
ENSGALG00000009424	FOXP2	6.3513348606431e-41	-3.4
ENSGALG00000016138	DSCAM	9.72605814915856e-41	-1.1
ENSGALG00000048302		9.7889149897967e-41	3.7
ENSGALG00000030550	ATP2B1	1.09360568581355e-40	-1.1
ENSGALG00000038336	SLC20A2	2.19953302930407e-40	-1.2
ENSGALG00000002397	PSPH	2.2491132226895e-40	-1.5
ENSGALG00000005951	VPS29L	5.14092978729058e-40	1.3
