Gene stable ID	Gene stable ID version	Gene description	GO term accession	GO term name
ENSGALG00000009966	ENSGALG00000009966.6	fibroblast growth factor receptor substrate 2 [Source:NCBI gene;Acc:417845]	GO:0007405	neuroblast proliferation
ENSGALG00000039349	ENSGALG00000039349.2	disrupted in schizophrenia 1 [Source:NCBI gene;Acc:100859633]	GO:0002052	positive regulation of neuroblast proliferation
ENSGALG00000011870	ENSGALG00000011870.5	hypoxia inducible factor 1 subunit alpha [Source:NCBI gene;Acc:374177]	GO:0002052	positive regulation of neuroblast proliferation
ENSGALG00000034168	ENSGALG00000034168.2	Wnt family member 5A [Source:NCBI gene;Acc:395703]	GO:0071425	hematopoietic stem cell proliferation
ENSGALG00000039228	ENSGALG00000039228.3	ZFP36 ring finger protein like 1 [Source:NCBI gene;Acc:101751828]	GO:0072091	regulation of stem cell proliferation
ENSGALG00000012123	ENSGALG00000012123.6	paired box 6 [Source:NCBI gene;Acc:395943]	GO:0002052	positive regulation of neuroblast proliferation
ENSGALG00000007161	ENSGALG00000007161.5	leucine rich repeat kinase 2 [Source:NCBI gene;Acc:427844]	GO:1902692	regulation of neuroblast proliferation
ENSGALG00000008912	ENSGALG00000008912.6	ATP-binding cassette, sub-family B (MDR/TAP), member 1-like A [Source:NCBI gene;Acc:420534]	GO:0072089	stem cell proliferation
ENSGALG00000043711	ENSGALG00000043711.3	argonaute 3, RISC catalytic component [Source:NCBI gene;Acc:419628]	GO:0072091	regulation of stem cell proliferation
ENSGALG00000043711	ENSGALG00000043711.3	argonaute 3, RISC catalytic component [Source:NCBI gene;Acc:419628]	GO:0072091	regulation of stem cell proliferation
ENSGALG00000010671	ENSGALG00000010671.6	heterogeneous nuclear ribonucleoprotein U [Source:NCBI gene;Acc:421492]	GO:2000648	positive regulation of stem cell proliferation
ENSGALG00000007119	ENSGALG00000007119.6	diacylglycerol lipase beta [Source:NCBI gene;Acc:416625]	GO:0007405	neuroblast proliferation
ENSGALG00000008702	ENSGALG00000008702.7	ovo like zinc finger 3 [Source:NCBI gene;Acc:416720]	GO:2000647	negative regulation of stem cell proliferation
ENSGALG00000039735	ENSGALG00000039735.2	echinoderm microtubule associated protein like 1 [Source:NCBI gene;Acc:423452]	GO:0007405	neuroblast proliferation
ENSGALG00000010560	ENSGALG00000010560.2	eukaryotic translation initiation factor 2 alpha kinase 2 [Source:NCBI gene;Acc:395147]	GO:1902033	regulation of hematopoietic stem cell proliferation
ENSGALG00000012163	ENSGALG00000012163.6	brain derived neurotrophic factor [Source:NCBI gene;Acc:396186]	GO:0007406	negative regulation of neuroblast proliferation
ENSGALG00000036043	ENSGALG00000036043.3	T-box 3 [Source:NCBI gene;Acc:374202]	GO:2000648	positive regulation of stem cell proliferation
ENSGALG00000034118	ENSGALG00000034118.3	SRY-box 18 [Source:NCBI gene;Acc:374200]	GO:0072091	regulation of stem cell proliferation
ENSGALG00000032590	ENSGALG00000032590.2	nudE neurodevelopment protein 1 [Source:NCBI gene;Acc:416597]	GO:0007405	neuroblast proliferation
ENSGALG00000034831	ENSGALG00000034831.2	YTH domain family, member 2 [Source:NCBI gene;Acc:419583]	GO:0071425	hematopoietic stem cell proliferation
ENSGALG00000008073	ENSGALG00000008073.7	neurofibromin 2 [Source:NCBI gene;Acc:395158]	GO:0072091	regulation of stem cell proliferation
ENSGALG00000026811	ENSGALG00000026811.3	SH2 domain containing adaptor protein B [Source:NCBI gene;Acc:427280]	GO:0071425	hematopoietic stem cell proliferation
ENSGALG00000000902	ENSGALG00000000902.7	keratinocyte differentiation factor 1 [Source:NCBI gene;Acc:769268]	GO:2000647	negative regulation of stem cell proliferation
ENSGALG00000008827	ENSGALG00000008827.6	fermitin family member 1 [Source:NCBI gene;Acc:416727]	GO:2000647	negative regulation of stem cell proliferation
ENSGALG00000009261	ENSGALG00000009261.7	ventral anterior homeobox 1 [Source:NCBI gene;Acc:395582]	GO:0007406	negative regulation of neuroblast proliferation
ENSGALG00000033469	ENSGALG00000033469.2	lysine demethylase 1A [Source:NCBI gene;Acc:419571]	GO:0002052	positive regulation of neuroblast proliferation
ENSGALG00000012290	ENSGALG00000012290.6	SRY-box 10 [Source:NCBI gene;Acc:395573]	GO:0002052	positive regulation of neuroblast proliferation
ENSGALG00000032994	ENSGALG00000032994.2	SRY-box 17 [Source:NCBI gene;Acc:428534]	GO:0072091	regulation of stem cell proliferation
ENSGALG00000039786	ENSGALG00000039786.2	fibroblast growth factor receptor 1 [Source:NCBI gene;Acc:396516]	GO:0021847	ventricular zone neuroblast division
ENSGALG00000039474	ENSGALG00000039474.3	inhibitor of DNA binding 4, HLH protein [Source:NCBI gene;Acc:374150]	GO:0007405	neuroblast proliferation
ENSGALG00000001079	ENSGALG00000001079.6	Wnt family member 3 [Source:NCBI gene;Acc:374142]	GO:0072089	stem cell proliferation
ENSGALG00000001079	ENSGALG00000001079.6	Wnt family member 3 [Source:NCBI gene;Acc:374142]	GO:1905474	canonical Wnt signaling pathway involved in stem cell proliferation
ENSGALG00000023303	ENSGALG00000023303.4	SIX homeobox 2 [Source:NCBI gene;Acc:724086]	GO:0097168	mesenchymal stem cell proliferation
ENSGALG00000032259	ENSGALG00000032259.2	SIX homeobox 3 [Source:NCBI gene;Acc:378786]	GO:1902692	regulation of neuroblast proliferation
ENSGALG00000032259	ENSGALG00000032259.2	SIX homeobox 3 [Source:NCBI gene;Acc:378786]	GO:1902692	regulation of neuroblast proliferation
ENSGALG00000013183	ENSGALG00000013183.7	telomerase reverse transcriptase [Source:NCBI gene;Acc:420972]	GO:2000648	positive regulation of stem cell proliferation
